iata_code,icao_code,oag_code,carrier_name,iata_name,alliance,domicile_country,region
"8DE",,"8DE","TALOFA AIRWAYS",,,"SAMOA","SOUTHWEST PACIFIC"
"S9",,"S9","TRI-STATE CHARTER","TRI-STATE CHARTER",,"USA","NORTH AMERICA"
"S6","KSZ","S6","SUNRISE AIRWAYS","SUNRISE AIRWAYS S.A.",,"HAITI","LATIN AMERICA : CARIBBEAN"
"GP","RIV","GP","APG AIRLINES","APG AIRLINES",,"FRANCE","EUROPE : WESTERN EUROPE"
"UV","UVA","UV","UNIVERSAL AIRWAYS, INC.","UNIVERSAL AIRWAYS INC",,"USA"
"8LA",,"8LA","SKANEFLYG",,,"SWEDEN","EUROPE : WESTERN EUROPE"
"G6","GXA","G6","GLOBAL CROSSING AIRLINES","GLOBAL CROSSING AIRLINES, INC",,"USA"
"IX","AXB","IX","AIR INDIA EXPRESS","AIR INDIA EXPRESS LTD",,"INDIA","ASIA : SOUTH ASIA"
"8DN",,"8DN","RHEIN-NECKAR AIR",,,"GERMANY","EUROPE : WESTERN EUROPE"
"8DW",,"8DW","TARA AIR",,,"NEPAL","ASIA : SOUTH ASIA"
"XJ","TAX","XJ","THAI AIRASIA X","THAI AIRASIA X COMPANY LIMITED",,"THAILAND","ASIA : SOUTH EAST ASIA"
"CL","CLH","CL","LUFTHANSA CITYLINE GMBH","LUFTHANSA CITYLINE GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"G4","AAY","G4","ALLEGIANT AIR LLC","ALLEGIANT AIR LLC",,"USA","NORTH AMERICA"
"8DX",,"8DX","SAURYA AIRLINES",,,"NEPAL","ASIA : SOUTH ASIA"
"MC",,"MC","AIR MOBILITY COMMAND","AIR MOBILITY COMMAND",,"USA","NORTH AMERICA"
"7L","AZG","7L","SILK WAY WEST AIRLINES","SILK WAY WEST AIRLINES LLC",,"AZERBAIJAN","EUROPE : EASTERN/CENTRAL EUROPE"
"LR","LRC","LR","AVIANCA COSTA RICA S.A.","AVIANCA COSTA RICA, S.A.",,"COSTA RICA"
"IN","LKN","IN","NAM AIR","PT. NAM AIR",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"PJ","SPM","PJ","AIR SAINT-PIERRE","AIR SAINT  PIERRE",,"SAINT PIERRE AND MIQUELON","NORTH AMERICA"
"SR","SDR","SR","SUNDAIR","SUNDAIR GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"U2","EZY","U2","EASYJET","EASYJET UK LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"VV","PTW","VV","PATTAYA AIRWAYS","PATTAYA AIRWAYS COMPANY LTD",,"THAILAND","ASIA : SOUTH EAST ASIA"
"FU","FZA","FU","FUZHOU AIRLINES CO., LTD","FUZHOU AIRLINES CO., LTD",
"8ET",,"8ET","GOLDEN BAY AIR",,,"NEW ZEALAND","SOUTHWEST PACIFIC"
"8AM",,"8AM","DAILY AIR",,,"CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"MD","MGY","MD","MADAGASCAR AIRLINES","MADAGASCAR AIRLINES",,"MADAGASCAR","AFRICA : EASTERN AFRICA"
"H2","SKU","H2","SKY AIRLINE","SKY AIRLINE S.A.",,"CHILE","LATIN AMERICA : LOWER SOUTH AMERICA"
"T8","TVR","T8","CA TERRA AVIA SRL","CA TERRA AVIA SRL",,"MOLDOVA REPUBLIC OF","EUROPE : EASTERN/CENTRAL EUROPE"
"FG","AFG","FG","ARIANA AFGHAN AIRLINES","ARIANA AFGHAN AIRLINES",,"AFGHANISTAN","ASIA : SOUTH ASIA"
"MO","CAV","MO","CALM AIR INTL LTD","CALM AIR INTERNATIONAL LTD.",,"CANADA","NORTH AMERICA"
"NR","MAV","NR","MANTA AIR","MANTA AVIATION PVT LTD",,"MALDIVES","ASIA : SOUTH ASIA"
"6Q",,"6Q","QINGDAO CIMC SPECIAL REEFER CO LTD","QINGDAO CIMC SPECIAL REEFER CO LTD",,,
"8P","PCO","8P","PACIFIC COASTAL AIRLINES LIMITED","PACIFIC COASTAL AIRLINES LIMITED",,"CANADA","NORTH AMERICA"
"8ER",,"8ER","KING ISLAND AIRLINES",,,"AUSTRALIA","SOUTHWEST PACIFIC"
"4R",,"4R","RENFE VIAJEROS","RENFE VIAJEROS SOCIEDAD MERCANTIL",,"SPAIN","EUROPE : WESTERN EUROPE"
"3W","MWI","3W","MALAWIAN AIRLINES","MALAWI AIRLINES",,"MALAWI","AFRICA : SOUTHERN AFRICA"
"A5","HOP","A5","HOP!","HOP!",,"FRANCE","EUROPE : WESTERN EUROPE"
"8CZ",,"8CZ","LUBECK AIR",,,"GERMANY","EUROPE : WESTERN EUROPE"
"2Y","AMA","2Y","MOALEM AVIATION AIRCOMPANY","AIRCOMPANY MOALEM AVIATION LLC",,"KYRGYZSTAN","ASIA : CENTRAL ASIA"
"TM","LAM","TM","LAM-LINHAS AEREAS DE MOCAMBIQUE","LAM - LINHAS AEREAS DE MOCAMBIQUE SA",,"MOZAMBIQUE","AFRICA : SOUTHERN AFRICA"
"PC",,"PC","ENVIROTAINER AB","ENVIROTAINER AB",,,
"QU","UTN","QU","SKYLINE EXPRESS AIRLINES","SKYLINE EXPRESS AIRLINES",,"UKRAINE","EUROPE : EASTERN/CENTRAL EUROPE"
"X9","NVD","X9","AVION EXPRESS","JSC ""AVION EXPRESS""",,"LITHUANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"8BQ",,"8BQ","AIRFAST CONGO",,,"CONGO DEMOCRATIC REPUBLIC OF","AFRICA : CENTRAL/WESTERN AFRICA"
"8HE",,"8HE","BAR AVIATION",,,"UGANDA","AFRICA : EASTERN AFRICA"
"GO","GHN","GO","AIR GHANA","AIR GHANA LIMITED",,"GHANA","AFRICA : CENTRAL/WESTERN AFRICA"
"J6","JEC","J6","JETSMART AIRLINES SAS","JETSMART AIRLINES S.A.S.",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"Q2","DQA","Q2","MALDIVIAN","ISLAND AVIATION SERVICES LTD.",,"MALDIVES","ASIA : SOUTH ASIA"
"GU","GUG","GU","AVIATECA","AVIATECA, S.A.",,"GUATEMALA"
"OY","OAE","OY","OMNI AIR INTERNATIONAL","OMNI AIR INTERNATIONAL, INC.",,"USA"
"FC",,"FC","LINK AIRWAYS","VEE H AVIATION PTY LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"8KB",,"8KB","BEQUIA AIR",,,"ST VINCENT AND THE GRENADINES","LATIN AMERICA : CARIBBEAN"
"K3","TQN","K3","TAQUAN AIR","VENTURE TRAVEL, LLC",,"USA"
"UG","TUX","UG","TUNISAIR EXPRESS","TUNISAIR EXPRESS",,"TUNISIA","AFRICA : NORTH AFRICA"
"6R","DRU","6R","ALROSA AIR COMPANY","OPEN JOINT STOCK COMPANY ""ALROSA""",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"TJ","GPD","TJ","TRADEWIND AVIATION","TRADEWIND AVIATION, LLC",,"USA"
"JP","JTD","JP","JETTIME","JETTIME A/S",,"DENMARK","EUROPE : WESTERN EUROPE"
"6E","IGO","6E","INDIGO","INTERGLOBE AVIATION LTD. DBA INDIGO",,"INDIA","ASIA : SOUTH ASIA"
"QZ","AWQ","QZ","INDONESIA AIRASIA","PT. INDONESIA AIRASIA",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"W2","FXT","W2","FLEXFLIGHT APS","FLEXFLIGHT APS",,"DENMARK","EUROPE : WESTERN EUROPE"
"EC","EJU","EC","EASYJET EUROPE AIRLINE","EASYJET EUROPE AIRLINE GMBH",,"AUSTRIA","EUROPE : WESTERN EUROPE"
"9A","SIN","9A","SIN-KUNG AIRWAYS","SIN-KUNG AIRWAYS SDN BHD",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"SC","CDG","SC","SHANDONG AIRLINES","SHANDONG AIRLINES",,"CHINA","ASIA : NORTH EAST ASIA"
"CF","CYZ","CF","CHINA POSTAL AIRLINES","CHINA POSTAL AIRLINES CO., LTD.",,"CHINA"
"2L","OAW","2L","HELVETIC AIRWAYS","HELVETIC AIRWAYS AG",,"SWITZERLAND","EUROPE : WESTERN EUROPE"
"J5",,"J5","ALASKA SEAPLANES","KALININ AVIATION, L.L.C.",,"USA"
"G8",,"G8","GUYANE EXPRESS FLY","GUYANE EXPRESS FLY",,"FRENCH GUIANA","LATIN AMERICA : UPPER SOUTH AMERICA"
"B7","UIA","B7","UNI AIRWAYS","UNI AIRWAYS CORPORATION",,"CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"9F",,"9F","EUROSTAR INTERNATIONAL","EUROSTAR INTERNATIONAL LIMITED",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"WW","KXP","WW","MJETS AIR","MJETS AIR SDN. BHD. DBA MJETS AIR",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"Q7","DHA","Q7","DHL AIR (AUSTRIA) GMBH","DHL AIR AUSTRIA GMBH",,"AUSTRIA","EUROPE : WESTERN EUROPE"
"R4","RAN","R4","RANO AIR","RANO AIR LIMITED",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"3G",,"3G","WORLD CARGO AIRLINES","WORLD CARGO AIRLINE SDN BHD.",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"8BT",,"8BT","STEWART ISLANDS FLIGHTS",,,"NEW ZEALAND","SOUTHWEST PACIFIC"
"EJ","EQR","EJ","ECAIR","EQUATORIAL CONGO AIRLINES (ECAIR)",,"CONGO","AFRICA : CENTRAL/WESTERN AFRICA"
"8NS",,"8NS","NORDIC SEAPLANES",,,"DENMARK","EUROPE : WESTERN EUROPE"
"8MP",,"8MP","AIRMAX CARGO",,,"PERU","LATIN AMERICA : UPPER SOUTH AMERICA"
"VP","VQI","VP","VILLA AIR","VILLA AIR PVT. LTD. DBA VILLA AIR",,"MALDIVES","ASIA : SOUTH ASIA"
"BE",,"BE","BRIGHTLINE TRAINS FLORIDA","BRIGHTLINE TRAINS FLORIDA, LLC",,"USA"
"U3","SAY","U3","SKY GATES AIRLINES","AIR COMPANY ""SKY GATES AIRLINES""",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"HI",,"HI","PAPILLON AIRWAYS","PAPILLON AIRWAYS, INC.",,"USA"
"SE","SVI","SE","SKY VISION AIRLINES","SKY VISION AIRLINES",,"EGYPT","AFRICA : NORTH AFRICA"
"PA","ABQ","PA","AIRBLUE","M/S AIRBLUE LIMITED",,"PAKISTAN","ASIA : SOUTH ASIA"
"8EN",,"8EN","MCMURRAY AVIATION",,,"CANADA","NORTH AMERICA"
"8CD",,"8CD","ROTA DO SOL",,,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"YK","AVJ","YK","AVIA TRAFFIC COMPANY","AVIA TRAFFIC COMPANY",,"KYRGYZSTAN","ASIA : CENTRAL ASIA"
"W6","WZZ","W6","WIZZ AIR","WIZZ AIR HUNGARY AIRLINES LIMITED",,"HUNGARY","EUROPE : EASTERN/CENTRAL EUROPE"
"WB","RWD","WB","RWANDAIR","RWANDAIR LIMITED",,"RWANDA","AFRICA : EASTERN AFRICA"
"8BN",,"8BN","BMN AIR",,,"ANTIGUA AND BARBUDA, LEEWARD ISLANDS"
"6O","OBS","6O","IBEROJET (PORTUGAL)","ORBEST S.A.",,"PORTUGAL","EUROPE : WESTERN EUROPE"
"IV","GPX","IV","GP AVIATION LTD","GP AVIATION LTD",,"BULGARIA","EUROPE : EASTERN/CENTRAL EUROPE"
"SI","SPA","SI","SIERRA PACIFIC AIRLINES","SIERRA PACIFIC AIRLINES, INC.",,"USA"
"8N","REG","8N","REGIONAL AIR SERVICES","REGIONAL AIR SERVICES LIMITED",,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"BG","BBC","BG","BIMAN BANGLADESH AIRLINES","BIMAN BANGLADESH AIRLINES LTD",,"BANGLADESH","ASIA : SOUTH ASIA"
"4E","SBO","4E","STABO AIR","STABO AIR SERVICES LIMITED",,"ZAMBIA","AFRICA : SOUTHERN AFRICA"
"VR","TCV","VR","TACV CABO VERDE AIRLINES","TRANSPORTES AEREOS DE CABO VERDE",,"CAPE VERDE","AFRICA : CENTRAL/WESTERN AFRICA"
"6J","SNJ","6J","SOLASEED","SOLASEED AIR INC.",,"JAPAN","ASIA : NORTH EAST ASIA"
"M7","MAA","M7","MAS AIR","AEROTRANSPORTES MAS DE CARGA",,"MEXICO","LATIN AMERICA : CENTRAL AMERICA"
"Y7","TYA","Y7","NORDSTAR","JOINT-STOCK COMPANY NORDSTAR",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"X5","OVA","X5","AIR EUROPA EXPRESS","AERONOVA S.L.",,"SPAIN","EUROPE : WESTERN EUROPE"
"3L",,"3L","HI FLY (MALTA)","HI FLY (MALTA)",,,
"NO","NOS","NO","NEOS AIR","NEOS S.P.A.",,"ITALY","EUROPE : WESTERN EUROPE"
"8DU",,"8DU","SKYWAY MOZAMBIQUE",,,"MOZAMBIQUE","AFRICA : SOUTHERN AFRICA"
"1R",,"1R","MY SKY SA","MY SKY SA",,,
"X1",,"X1","HAHN AIR TECHNOLOGIES","HAHN AIR TECHNOLOGIES GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"TN","THT","TN","AIR TAHITI NUI","AIR TAHITI NUI",,"FRENCH POLYNESIA","SOUTHWEST PACIFIC"
"RP","BPS","RP","BASE AIRLINES","BUDAPEST AIRCRAFT SERVICES ZRT.",,"HUNGARY","EUROPE : EASTERN/CENTRAL EUROPE"
"DX","DTR","DX","DAT","DAT A/S",,"DENMARK","EUROPE : WESTERN EUROPE"
"Z4","RSG","Z4","FLY RED SEA","THE RED SEA AIR SERVICES COMPANY",,"SAUDI ARABIA","MIDDLE EAST"
"CU","CUB","CU","CUBANA DE AVIACION S.A","CUBANA DE AVIACION S.A. DBA TRANSPORTE",,"CUBA","LATIN AMERICA : CARIBBEAN"
"YP","APZ","YP","AIR PREMIA INC.","AIR PREMIA INC",,"KOREA REPUBLIC OF","ASIA : NORTH EAST ASIA"
"O9",,"O9","AFCOM HOLDINGS LIMITED","AFCOM HOLDINGS LIMITED",,"INDIA","ASIA : SOUTH ASIA"
"HF","VRE","HF","AIR COTE D'IVOIRE","AIR COTE D'IVOIRE",,"COTE D'IVOIRE","AFRICA : CENTRAL/WESTERN AFRICA"
"C5","UCA","C5","COMMUTAIR","COMMUTEAIR LLC",,"USA","NORTH AMERICA"
"8EM",,"8EM","KATMAI AIR",,,"USA","NORTH AMERICA"
"HJ","TMN","HJ","TASMAN CARGO AIRLINES PTY LTD","TASMAN CARGO AIRLINES PTY LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"KV","SSJ","KV","KRASAVIA","KRASAVIA",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"CG","TOK","CG","PNG AIR LIMITED","PNG AIR LIMITED",,"PAPUA NEW GUINEA","SOUTHWEST PACIFIC"
"YL","LWA","YL","LIBYAN WINGS","LIBYAN WINGS AIRLINE JSC",,"LIBYA","AFRICA : NORTH AFRICA"
"QP","AKJ","QP","AKASA AIR","SNV AVIATION PRIVATE LIMITED",,"INDIA","ASIA : SOUTH ASIA"
"L6","MAI","L6","MAURITANIAN AIRLINES","MAURITANIAN AIRLINES",,"MAURITANIA","AFRICA : CENTRAL/WESTERN AFRICA"
"2K","GLG","2K","AVIANCA-ECUADOR","AVIANCA-ECUADOR",,"ECUADOR","LATIN AMERICA : UPPER SOUTH AMERICA"
"BT","BTI","BT","AIR BALTIC CORPORATION","AIR BALTIC CORPORATION A/S",,"LATVIA","EUROPE : EASTERN/CENTRAL EUROPE"
"E9","EVE","E9","IBEROJET AIRLINES","EVELOP AIRLINES S.L.",,"SPAIN","EUROPE : WESTERN EUROPE"
"R6","DNU","R6","DAT LT","UAB DAT LT",,"LITHUANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"8BK",,"8BK","AER ARANN ISLANDS",,,"IRELAND REPUBLIC OF","EUROPE : WESTERN EUROPE"
"WH","WWP","WH","LA NUEVA AEROLINEA","LA NUEVA AEROLINEA, S.A.",,"PANAMA"
"GG","KYE","GG","SKYLEASE","SKY LEASE I, INC.",,"USA"
"YS","FLZ","YS","FLIGHTLINK AIR CHARTERS","FLIGHTLINK LIMITED",,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"YO","MCM","YO","HELI AIR MONACO","HELI AIR MONACO",,"MONACO","EUROPE : WESTERN EUROPE"
"U7","UCG","U7","UNIWORLD AIR CARGO CORP.","UNIWORLD AIR CARGO CORP.",,"PANAMA","LATIN AMERICA : CENTRAL AMERICA"
"X3","TUI","X3","TUIFLY","TUIFLY GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"8AS",,"8AS","TAOS AIR",,,"USA","NORTH AMERICA"
"JC","JAC","JC","JAPAN AIR COMMUTER",,,"JAPAN","ASIA : NORTH EAST ASIA"
"ZQ","GER","ZQ","GERMAN AIRWAYS GMBH & CO.KG","GERMAN AIRWAYS GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"7Y","MYP","7Y","MANN YADANARPON AIRLINES","MANN YADANARPON AIRLINES CO. LTD.",,"MYANMAR","ASIA : SOUTH EAST ASIA"
"PU","PUE","PU","PLUS ULTRA LINEAS AEREAS S. A.","PLUS ULTRA LINEAS AEREAS, S. A.",,"SPAIN"
"N4","NWS","N4","NORD WIND","LLC ""NORD WIND""",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"G1",,"G1","TURNA TECH LLC","TURNA TECH LLC",,,
"AH","DAH","AH","AIR ALGERIE","AIR ALGERIE",,"ALGERIA","AFRICA : NORTH AFRICA"
"KN","CUA","KN","CHINA UNITED AIRLINES","CHINA UNITED AIRLINES",,"CHINA","ASIA : NORTH EAST ASIA"
"BX","ABL","BX","AIR BUSAN","AIR BUSAN CO. LTD",,"KOREA REPUBLIC OF","ASIA : NORTH EAST ASIA"
"OJ","NYX","OJ","NYXAIR OU","NYXAIR",,"ESTONIA","EUROPE : EASTERN/CENTRAL EUROPE"
"H9","HIM","H9","HIMALAYA AIRLINES","HIMALAYA AIRLINES PVT. LTD.",,"NEPAL","ASIA : SOUTH ASIA"
"SB","ACI","SB","AIR CALEDONIE INTERNATIONAL","AIR CALEDONIE INTERNATIONAL",,"NEW CALEDONIA","SOUTHWEST PACIFIC"
"8DM",,"8DM","ORIGINAIR",,,"NEW ZEALAND","SOUTHWEST PACIFIC"
"8Y","IOS","8Y","ISLES OF SCILLY SKYBUS","ISLES OF SCILLY SKYBUS LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"VY","VLG","VY","VUELING AIRLINES","VUELING AIRLINE SA",,"SPAIN","EUROPE : WESTERN EUROPE"
"XK","CCM","XK","AIR CORSICA","AIR CORSICA",,"FRANCE","EUROPE : WESTERN EUROPE"
"VI","VDA","VI","VOLGA-DNEPR AIRLINES","VOLGA-DNEPR AIRLINE JOINT STOCK",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"R2","GTS","R2","TRANSAIR SENEGAL","GROUPE TRANSAIR S.A",,"SENEGAL","AFRICA : CENTRAL/WESTERN AFRICA"
"7O","TVL","7O","SMARTWINGS HUNGARY","SMARTWINGS HUNGARY KFT.",,"HUNGARY","EUROPE : EASTERN/CENTRAL EUROPE"
"Z7","CMS","Z7","CAMEX AIRLINES","AIRCOMPANY CAMEX AIRLINES",,"GEORGIA","EUROPE : EASTERN/CENTRAL EUROPE"
"H4","HYS","H4","HISKY EUROPE SRL","HISKY EUROPE SRL",,"ROMANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"1B",,"1B","SABRE ASIA PACIFIC PTE. LTD.","SABRE ASIA PACIFIC PTE. LTD.",,,
"I8","IZA","I8","IZHAVIA","IZHAVIA PUBLIC STOCK COMPANY",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"YC","LLM","YC","YAMAL AIRLINES","JOINT-STOCK COMPANY ""YAMAL AIRLINES",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"W5","IRM","W5","MAHAN AIR","MAHAN AIR",,"IRAN ISLAMIC REPUBLIC OF","MIDDLE EAST"
"8YV",,"8YV","MYFLUG AIR",,,"ICELAND","EUROPE : WESTERN EUROPE"
"XZ","AEZ","XZ","AEROITALIA","AEROITALIA SRL",,"ITALY","EUROPE : WESTERN EUROPE"
"B3","BTN","B3","BHUTAN AIRLINES","BHUTAN AIRLINES",,"BHUTAN","ASIA : SOUTH ASIA"
"3A",,"3A","CHU KONG PASSENGER TRANSPORT CO LTD.","CHU KONG PASSENGER TRANSPORT",,"HONG KONG (SAR) CHINA","ASIA : NORTH EAST ASIA"
"PE","PEV","PE","PEOPLE'S","ALTENRHEIN LUFTFAHRT GMBH",,"AUSTRIA","EUROPE : WESTERN EUROPE"
"X6","CHZ","X6","CHALLENGE AIR CARGO LTD","CHALLENGE AIR CARGO LTD",,"MALTA","EUROPE : WESTERN EUROPE"
"P6","PSC","P6","PASCAN AVIATION INC.","9736140 CANADA INC.",,"CANADA","NORTH AMERICA"
"WE","PTA","WE","PARATA AIR INC.","PARATA AIR INC.",,"KOREA REPUBLIC OF","ASIA : NORTH EAST ASIA"
"IK","AKL","IK","AIR KIRIBATI","AIR KIRIBATI LIMITED",,"KIRIBATI","SOUTHWEST PACIFIC"
"FA",,"FA","FREEDOM II BERMUDA LIMITED","FREEDOM II BERMUDA LIMITED",,,
"9K","KAP","9K","CAPE AIR","HYANNIS AIR SERVICE, INC.",,"USA"
"8EF",,"8EF","ASL FLY EXECUTIVE",,,"BELGIUM","EUROPE : WESTERN EUROPE"
"XC","CAI","XC","CORENDON AIRLINES","TURISTIK HAVA TASIMACILIK AS",,"TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"IA","IAW","IA","IRAQI AIRWAYS","IRAQI AIRWAYS DBA I A W",,"IRAQ","MIDDLE EAST"
"5G","SHS","5G","SHIRAK AVIA","""SHIRAK AVIA"" LIMITED LIABILITY COM",,"ARMENIA","EUROPE : EASTERN/CENTRAL EUROPE"
"OM","MGL","OM","MIAT - MONGOLIAN AIRLINES","MIAT MONGOLIAN AIRLINES",,"MONGOLIA","ASIA : NORTH EAST ASIA"
"QQ","UTY","QQ","ALLIANCE AIRLINES","ALLIANCE AIRLINES PTY LIMITED",,"AUSTRALIA","SOUTHWEST PACIFIC"
"4N","ANT","4N","AIR NORTH","AIR NORTH CHARTER AND TRAINING LTD.",,"CANADA","NORTH AMERICA"
"B9","IRB","B9","IRAN AIRTOUR AIRLINES","IRAN AIRTOUR AIRLINES",,"IRAN ISLAMIC REPUBLIC OF","MIDDLE EAST"
"4V","SQY","4V","VISION AIR","""VISION AIR"" S.R.L.",,"MOLDOVA REPUBLIC OF","EUROPE : EASTERN/CENTRAL EUROPE"
"0A","BIC","0A","ALPHALAND AVIATION INC","ALPHALAND AVIATION INC",,"PHILIPPINES","ASIA : SOUTH EAST ASIA"
"6N","NIN","6N","NIGER AIRLINES","NIGER AIRLINES S.A.",,"NIGER","AFRICA : CENTRAL/WESTERN AFRICA"
"K2","TUD","K2","YUTE COMMUTER SERVICE","PAKLOOK AIR INC.",,"USA","NORTH AMERICA"
"8SB",,"8SB","RED WAY",,,"USA","NORTH AMERICA"
"EM","CFS","EM","EMPIRE AIRLINES","EMPIRE AIRLINES, INC.",,"USA"
"1S",,"1S","SABRE GLBL INC.","SABRE GLBL INC.",,,
"8AE",,"8AE","GROVENORS AVIATION LTD",,,"KENYA","AFRICA : EASTERN AFRICA"
"NC","NAC","NC","NORTHERN AIR CARGO, INC.","NORTHERN AIR CARGO, LLC.",
"M3","LTG","M3","LATAM CARGO BRASIL","ABSA  -  AEROLINHAS BRASILEIRAS S.A",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"IL","TGN","IL","PT TRIGANA AIR","PT.TRIGANA AIR SERVICE",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"D4","GEL","D4","AIRLINE GEO SKY LLC","AIRLINE GEO SKY LLC",,"GEORGIA","EUROPE : EASTERN/CENTRAL EUROPE"
"TY","TPC","TY","AIR CALEDONIE","AIR CALEDONIE",,"NEW CALEDONIA","SOUTHWEST PACIFIC"
"TL","ANO","TL","AIRNORTH REGIONAL","CAPITEQ PTY LIMITED",,"AUSTRALIA","SOUTHWEST PACIFIC"
"BS","UBG","BS","US-BANGLA AIRLINES","US-BANGLA AIRLINES LTD",,"BANGLADESH","ASIA : SOUTH ASIA"
"B5","BBT","B5","BBN AIRLINES","BBN HAVA YOLLARI VE TASIMACILIK A.S",,"TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"F4",,"F4","FLY4 AIRLINES GREEN LIMITED","FLY4 AIRLINES GREEN LIMITED",,,
"JD","CBJ","JD","BEIJING CAPITAL AIRLINES","BEIJING CAPITAL AIRLINES CO. LTD.",,"CHINA","ASIA : NORTH EAST ASIA"
"6U",,"6U","QINGDAO HAIER BIOMEDICAL TECHNOLOGY","QINGDAO HAIER BIOMEDICAL TECHNOLOGY",,,
"7B","KGF","7B","CVSKY","LINHAS AEREAS DE CABO VERDE SA",,"CAPE VERDE","AFRICA : CENTRAL/WESTERN AFRICA"
"1M",,"1M","ONLINE RESERVATION SYSTEM JSC","ONLINE RESERVATION SYSTEM JSC",,,
"YT","NYT","YT","YETI AIRLINES","YETI AIRLINES DOMESTIC PVT. LTD.",,"NEPAL","ASIA : SOUTH ASIA"
"MV","MAR","MV","AIR MEDITERRANEAN","AIR MEDITERRANEAN S.A.",,"GREECE","EUROPE : WESTERN EUROPE"
"1G",,"1G","TRAVELPORT SERVICES LIMITED","TRAVELPORT SERVICES LIMITED",,,
"QX","QXE","QX","HORIZON AIR","HORIZON AIR INDUSTRIES, INC.",,"USA"
"MT","MMO","MT","MALTA MEDAIR","MALTA AIR TRAVEL LTD",,"MALTA","EUROPE : WESTERN EUROPE"
"OP","DIG","OP","PASSIONAIR","PISCES AVIATION LIMITED",,"GHANA","AFRICA : CENTRAL/WESTERN AFRICA"
"8HA",,"8HA","DASH AIR SHUTTLE",,,"USA","NORTH AMERICA"
"L4",,"L4","THE LANDLINE COMPANY","THE LANDLINE COMPANY",,"USA","NORTH AMERICA"
"BH","BSQ","BH","BASRA AIRLINES","BASRA AIRLINES",,"IRAQ","MIDDLE EAST"
"I6",,"I6","IRYO","INTERMODALIDAD DE LEVANTE S.A.",,"SPAIN","EUROPE : WESTERN EUROPE"
"CQ","CSV","CQ","COASTAL AIR","COASTAL TRAVELS LTD.",,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"WL","WAL","WL","WORLD ATLANTIC AIRLINES","CARIBBEAN SUN AIRLINES, INC.",,"USA"
"8FD",,"8FD","OFD OSTFRIESISCHER-FLUGDIENST",,,"GERMANY","EUROPE : WESTERN EUROPE"
"8DQ",,"8DQ","AKLAK AIR",,,"CANADA","NORTH AMERICA"
"O4","ANS","O4","ANDES LINEAS AEREAS","ANDES LINEAS AEREAS S.A",,"ARGENTINA","LATIN AMERICA : LOWER SOUTH AMERICA"
"EH","AKX","EH","ANA WINGS CO., LTD","ANA WINGS",,"JAPAN"
"BK","OKA","BK","OKAY AIRWAYS","OKAY AIRWAYS COMPANY LIMITED",,"CHINA","ASIA : NORTH EAST ASIA"
"4F","FDT","4F","FREEDOM AIRLINE EXPRESS","FREEDOM AIRLINE EXPRESS LTD",,"KENYA","AFRICA : EASTERN AFRICA"
