iata_code,icao_code,oag_code,carrier_name,iata_name,alliance,domicile_country,region
"YB",,"YB","HARBOUR AIR SEAPLANES","HARBOUR AIR LTD",,"CANADA","NORTH AMERICA"
"5E","BLK","5E","AERO","USAC AIRWAYS 695 LLC",,"USA","NORTH AMERICA"
"PI","GDM","PI","SMALL FLY CO.","SMALL FLY CO. LTD",,"MALTA","EUROPE : WESTERN EUROPE"
"Y2","CEY","Y2","AIR CENTURY","AIR CENTURY, S.A.",,"DOMINICAN REPUBLIC"
"8AH",,"8AH","TRISTAR AIR (KENYA)",,,"KENYA","AFRICA : EASTERN AFRICA"
"CT","AAE","CT","AIR ATLANTA EUROPE LTD","AIR ATLANTA EUROPE LIMITED",,"MALTA","EUROPE : WESTERN EUROPE"
"SA","SAA","SA","SOUTH AFRICAN AIRWAYS","SOUTH AFRICAN AIRWAYS SOC LTD","STAR ALLIANCE","SOUTH AFRICA","AFRICA : SOUTHERN AFRICA"
"UA","UAL","UA","UNITED AIRLINES","UNITED AIRLINES INC","STAR ALLIANCE","USA","NORTH AMERICA"
"IW","WON","IW","WINGS AIR","PT. WINGS ABADI",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"6H","ISR","6H","ISRAIR","ISRAIR AIRLINES AND TOURISM LTD.",,"ISRAEL","MIDDLE EAST"
"AM","AMX","AM","AEROMEXICO","AEROVIAS DE MEXICO SA DE CV","SKYTEAM","MEXICO","LATIN AMERICA : CENTRAL AMERICA"
"UO","HKE","UO","HK EXPRESS","HONG KONG EXPRESS AIRWAYS","U-FLY ALLIANCE","HONG KONG (SAR) CHINA","ASIA : NORTH EAST ASIA"
"MS","MSR","MS","EGYPTAIR","EGYPTAIR","STAR ALLIANCE","EGYPT","AFRICA : NORTH AFRICA"
"CM","CMP","CM","COPA AIRLINES","COMPANIA PANAMENA DE AVIACION, S.A.","STAR ALLIANCE","PANAMA"
"JE",,"JE","JETTAINER GMBH","JETTAINER GMBH",,,
"E1",,"E1","LYDIA YAZILIM VE BILGI TEKNOLOJILERI","LYDIA YAZILIM VE BILGI TEKNOLOJILERI",,,
"FT","FRO","FT","SKANE AVIATION","FROST AIR APS",,"SWEDEN","EUROPE : WESTERN EUROPE"
"HC","SZN","HC","AIR SENEGAL","AIR SENEGAL S.A.",,"SENEGAL","AFRICA : CENTRAL/WESTERN AFRICA"
"S3",,"S3","SATCO, INC.","SATCO, INC.",
"QA",,"QA","QUEEN BILQIS AIRWAYS","QUEEN BILQIS AIRWAYS",,"YEMEN","MIDDLE EAST"
"ZD","EWR","ZD","EWA AIR","EWA AIR",,"MAYOTTE","AFRICA : EASTERN AFRICA"
"Q4","ELE","Q4","EUROAIRLINES, S.L.","EUROAIRLINES, S.L.",
"SH",,"SH","SHARP AIRLINES","SHARP AVIATION PTY. LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"ZV","RFD","ZV","AERUS","AEROTRANSPORTES RAFILHER S.A. DE C.",,"MEXICO","LATIN AMERICA : CENTRAL AMERICA"
"9R","NSE","9R","SATENA","SERVICIO AEREO A TERRITORIOS NACION",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"RX","RXI","RX","RIYADH AIR","AVIATION SERVICES COMPANY",,"SAUDI ARABIA","MIDDLE EAST"
"6F",,"6F","FOX AIRCRAFT","FOX AIRCRAFT LLC",,"USA","NORTH AMERICA"
"LX","SWR","LX","SWISS","SWISS INTERNATIONAL AIR LINES LTD.","STAR ALLIANCE","SWITZERLAND","EUROPE : WESTERN EUROPE"
"CJ","CFE","CJ","BA CITYFLYER","BA CITYFLYER LIMITED","ONEWORLD AFFILIATE","UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"OZ","AAR","OZ","ASIANA AIRLINES","ASIANA AIRLINES, INC","STAR ALLIANCE","KOREA REPUBLIC OF"
"8CO",,"8CO","WRANGELL MOUNTAIN AIR",,,"USA","NORTH AMERICA"
"I2","IBS","I2","IBERIA EXPRESS","COMPANIA OPERADORA DE CORTO Y MEDIO","ONEWORLD AFFILIATE","SPAIN","EUROPE : WESTERN EUROPE"
"AR","ARG","AR","AEROLINEAS ARGENTINAS","AEROLINEAS ARGENTINAS S.A.","SKYTEAM","ARGENTINA","LATIN AMERICA : LOWER SOUTH AMERICA"
"DL","DAL","DL","DELTA AIR LINES","DELTA AIR LINES INC.","SKYTEAM","USA","NORTH AMERICA"
"OS","AUA","OS","AUSTRIAN AIRLINES AG DBA AUSTRIAN","AUSTRIAN AIRLINES AG DBA AUSTRIAN","STAR ALLIANCE","AUSTRIA","EUROPE : WESTERN EUROPE"
"MU","CES","MU","CHINA EASTERN AIRLINES","CHINA EASTERN AIRLINES CO LTD.","SKYTEAM","CHINA","ASIA : NORTH EAST ASIA"
"MH","MAS","MH","MALAYSIA AIRLINES","MALAYSIA AIRLINES BERHAD","ONEWORLD","MALAYSIA","ASIA : SOUTH EAST ASIA"
"WY","OMA","WY","OMAN AIR","OMAN AIR (S.A.O.C)","ONEWORLD","OMAN","MIDDLE EAST"
"XQ","SXS","XQ","SUNEXPRESS","SUNEXPRESS",,"TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"CD","CND","CD","CORENDON DUTCH AIRLINES","CORENDON DUTCH AIRLINES B.V.",,"NETHERLANDS","EUROPE : WESTERN EUROPE"
"1C",,"1C","A-ICE SRL","A-ICE SRL",,,
"QO","FQA","QO","QUIKJET","QUIKJET CARGO AIRLINES PVT. LTD",,"INDIA","ASIA : SOUTH ASIA"
"GA","GIA","GA","GARUDA INDONESIA","GARUDA INDONESIA","SKYTEAM","INDONESIA","ASIA : SOUTH EAST ASIA"
"SQ","SIA","SQ","SINGAPORE AIRLINES","SINGAPORE AIRLINES LIMITED.","STAR ALLIANCE","SINGAPORE","ASIA : SOUTH EAST ASIA"
"LJ","JNA","LJ","JIN AIR","JIN AIR CO., LTD",,"KOREA REPUBLIC OF"
"5N","AUL","5N","SMARTAVIA","JOINT STOCK COMPANY SMARTAVIA AIRLINES",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"5S","GAK","5S","GLOBAL AVIATION AND SERVICE GROUP","GLOBAL AIR TRANSPORT",,"LIBYA","AFRICA : NORTH AFRICA"
"XM","IMX","XM","ZIMEX AVIATION","ZIMEX AVIATION LTD",,"SWITZERLAND","EUROPE : WESTERN EUROPE"
"GV","GUN","GV","GRANT AVIATION, INC.","GRANT AVIATION, INC.",
"BM","MNS","BM","MEDSKY AIRWAYS","MEDSKY AIRWAYS",,"LIBYA","AFRICA : NORTH AFRICA"
"V3","KRP","V3","CARPATAIR","CARPATAIR SA",,"ROMANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"UQ","CUH","UQ","URUMQI AIRLINES","URUMQI AIR COMPANY LTD","U-FLY ALLIANCE","CHINA","ASIA : NORTH EAST ASIA"
"YW","ANE","YW","AIR NOSTRUM","AIR NOSTRUM, LINEAS AEREAS DEL MEDITERRA","ONEWORLD AFFILIATE","SPAIN"
"AB","BGS","AB","SUN AIR BULGARIA","SUN AIR BULGARIA",,"BULGARIA","EUROPE : EASTERN/CENTRAL EUROPE"
"8EV",,"8EV","TEL AVIV AIR",,,"GERMANY","EUROPE : WESTERN EUROPE"
"PY","SLM","PY","SURINAM AIRWAYS","SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.",,"SURINAME","LATIN AMERICA : UPPER SOUTH AMERICA"
"8CA",,"8CA","FLAMINGO AIR",,,"BAHAMAS","LATIN AMERICA : CARIBBEAN"
"FM","CSH","FM","SHANGHAI AIRLINES","SHANGHAI AIRLINES CO. LTD.","SKYTEAM","CHINA","ASIA : NORTH EAST ASIA"
"LU","LXP","LU","LANEXPRESS","TRANSPORTE AEREO S.A.","ONEWORLD AFFILIATE","CHILE","LATIN AMERICA : LOWER SOUTH AMERICA"
"VN","HVN","VN","VIETNAM AIRLINES","VIETNAM AIRLINES","SKYTEAM","VIET NAM","ASIA : SOUTH EAST ASIA"
"AC","ACA","AC","AIR CANADA","AIR CANADA","STAR ALLIANCE","CANADA","NORTH AMERICA"
"AI","AIC","AI","AIR INDIA","AIR INDIA","STAR ALLIANCE","INDIA","ASIA : SOUTH ASIA"
"6V","LVU","6V","LEVU TRANSPORTE AEREO E LOGISTICA","LEVU TRANSPORTE AEREO E LOGISTICA",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"E3","EMU","E3","EAST ASIA AIRLINES","EAST ASIA AIRLINES LIMITED",,"MACAO (SAR) CHINA","ASIA : NORTH EAST ASIA"
"8DI",,"8DI","WESTBAHN",,,"AUSTRIA","EUROPE : WESTERN EUROPE"
"M1",,"M1","AMBER AERO","AMBER AERO",,,
"8BZ",,"8BZ","AIR KASAI",,,"CONGO DEMOCRATIC REPUBLIC OF","AFRICA : CENTRAL/WESTERN AFRICA"
"P4","APK","P4","AIR PEACE","AIR PEACE LTD",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"3E","EAF","3E","ELECTRA AIRWAYS","ELECTRA AIRWAYS LTD",,"BULGARIA","EUROPE : EASTERN/CENTRAL EUROPE"
"CO","CNW","CO","NORTH-WESTERN CARGO INTERNATIONAL","NORTH-WESTERN CARGO INTERNATIONAL",,"CHINA","ASIA : NORTH EAST ASIA"
"C0","FGO","C0","FTL AIRLINES","FTL AIRLINES",,"FRANCE","EUROPE : WESTERN EUROPE"
"8DT",,"8DT","JETCLASS",,,"AUSTRIA","EUROPE : WESTERN EUROPE"
"GH","IGT","GH","AIRCOMPANY GEORGIAN AIRLINES","GEORGIAN AIRLINES LLC",,"GEORGIA","EUROPE : EASTERN/CENTRAL EUROPE"
"W7","WMA","W7","MAKERS AIR","NEALCO AIR CHARTER SERVICES INC.",,"USA","NORTH AMERICA"
"AG","ARU","AG","ARUBA AIRLINES-SUN AIR","ARUBAANSE LUCHTVAART MAATSCHAPPIJ",,"ARUBA","LATIN AMERICA : CARIBBEAN"
"X2","FXZ","X2","FLYX AERO","FLYX AERO PVT LTD",,"ZIMBABWE","AFRICA : SOUTHERN AFRICA"
"8EK",,"8EK","SEAIR SEAPLANES",,,"CANADA","NORTH AMERICA"
"2Q","SNC","2Q","AIR CARGO CARRIERS","AIR CARGO CARRIERS, LLC.",,"USA"
"NJ","GMS","NJ","GHADAMES AIR TRANSPORT","GHADAMES AIR",,"LIBYA","AFRICA : NORTH AFRICA"
"AS",,"AS","ALPHA SKY LLP","ALPHA SKY LLP",,,
"TA",,"TA","TRANSAFRICAN AIR LTD","TRANSAFRICAN AIR LTD",,,
"M2","MHV","M2","MHS AVIATION","MHS AVIATION GMBH",,"GERMANY","EUROPE : WESTERN EUROPE"
"D8","NSZ","D8","NORWEGIAN","NORWEGIAN AIR SWEDEN AOC AB",,"SWEDEN","EUROPE : WESTERN EUROPE"
"HN","HST","HN","HESTON AIRLINES","HESTON AIRLINES",,"LITHUANIA","EUROPE : EASTERN/CENTRAL EUROPE"
"V2",,"V2","AVIALEASING AVIATION CO","AVIALEASING AVIATION COMPANY",,"UZBEKISTAN","ASIA : CENTRAL ASIA"
"YH",,"YH","SUNSPLASH AVIATION LLC","SUNSPLASH AVIATION, LLC.",,"USA"
"AU","AYG","AU","ASCEND AIRWAYS MALAYSIA","ASCEND AIRWAYS MALAYSIA SDN. BHD.",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"8ZA",,"8ZA","RYUKYU AIR COMMUTER",,,"JAPAN","ASIA : NORTH EAST ASIA"
"JL",,"JL","JET LINX AVIATION, LLC.","JET LINX AVIATION, LLC.",
"ZT","AWC","ZT","TITAN AIRWAYS","TITAN AIRWAYS LTD",,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"V1",,"V1","IBS SOFTWARE SERVICES AMERICAS, INC","IBS SOFTWARE SERVICES AMERICAS, INC",
"8CS",,"8CS","SKY PASADA",,,"PHILIPPINES","ASIA : SOUTH EAST ASIA"
"HV","TRA","HV","TRANSAVIA.COM","TRANSAVIA AIRLINES",,"NETHERLANDS","EUROPE : WESTERN EUROPE"
"KR","KME","KR","CAMBODIA AIRWAYS CO. LTD","CAMBODIA AIRWAYS",,"CAMBODIA","ASIA : SOUTH EAST ASIA"
"DC","OLO","DC","VOLO AIRWAYS","AERONAVES DOMINICANAS SRL",,"DOMINICAN REPUBLIC","LATIN AMERICA : CARIBBEAN"
"OR","TFL","OR","TUI FLY NETHERLANDS","TUI AIRLINES NEDERLAND B.V.",,"NETHERLANDS","EUROPE : WESTERN EUROPE"
"9M","GLR","9M","CENTRAL MOUNTAIN AIR LTD.","CENTRAL MOUNTAIN AIR LTD",,"CANADA","NORTH AMERICA"
"FO","FBZ","FO","FLYBONDI","F.B. LINEAS AEREAS SA",,"ARGENTINA","LATIN AMERICA : LOWER SOUTH AMERICA"
"X4",,"X4","AIR EXCURSIONS, LLC","AIR EXCURSION, LLC",
"HK",,"HK","SKIPPERS AVIATION","SKIPPERS AVIATION PTY LTD.",,"AUSTRALIA","SOUTHWEST PACIFIC"
"UR","UGD","UR","UGANDA AIRLINES","UGANDA NATIONAL AIRLINES CO LTD.",,"UGANDA","AFRICA : EASTERN AFRICA"
"KZ","NCA","KZ","NIPPON CARGO AIRLINES","NIPPON CARGO AIRLINES",,"JAPAN","ASIA : NORTH EAST ASIA"
"J0","BFL","J0","BUFFALO AIRWAYS","BUFFALO AIRWAYS LTD.",,"CANADA","NORTH AMERICA"
"J8","BVT","J8","BERJAYA AIR","BERJAYA AIR SDN. BHD.",,"MALAYSIA","ASIA : SOUTH EAST ASIA"
"DG",,"DG","CEBGO","CEBGO, INC.",,"PHILIPPINES"
"T9","VTU","T9","TURPIAL AIRLINES","TURPIAL AIRLINES, C.A.",,"VENEZUELA"
"HB","HGB","HB","GREATER BAY AIRLINES","GREATER BAY AIRLINES COMPANY LTD",,"CHINA","ASIA : NORTH EAST ASIA"
"VO","UVL","VO","UNIVERSAL AIR","UNIVERSAL AIR CHARTER AND",,"MALTA","EUROPE : WESTERN EUROPE"
"IZ","AIZ","IZ","ARKIA - ISRAELI AIRLINES","ARKIA ISRAELI AIRLINES LTD",,"ISRAEL","MIDDLE EAST"
"MN","KGN","MN","ASMAN AIRLINES","ASMAN AIRLINES AIR COMPANY LLC",,"KYRGYZSTAN","ASIA : CENTRAL ASIA"
"YF",,"YF","DEPARTMENT OF NATIONAL DEFENCE","DEPARTMENT OF NATIONAL DEFENCE",,"CANADA","NORTH AMERICA"
"8IA",,"8IA","GULF ISLAND SEAPLANES",,,"CANADA","NORTH AMERICA"
"KO","AER","KO","ALASKA CENTRAL EXPRESS INC","ALASKA CENTRAL EXPRESS, INC",,"USA"
"7V","FDR","7V","FEDERAL AIRLINES (PTY) LTD","FEDERAL AIRLINES (PTY) LTD",,"SOUTH AFRICA","AFRICA : SOUTHERN AFRICA"
"YI","OYA","YI","FLY OYA","FLY OYA INTERNATIONAL",,"LIBYA","AFRICA : NORTH AFRICA"
"9C","CQH","9C","SPRING AIRLINES","SPRING AIRLINES LIMITED CORPORATION",,"CHINA","ASIA : NORTH EAST ASIA"
"MG","EZA","MG","EZNIS AIRWAYS LLC","EZNIS AIRWAYS LLC",,"MONGOLIA","ASIA : NORTH EAST ASIA"
"HU","CHH","HU","HAINAN AIRLINES","HAINAN AIRLINES CO., LTD.",,"CHINA"
"SU","AFL","SU","AEROFLOT RUSSIAN AIRLINES","PJSC AEROFLOT RUSSIAN AIRLINES",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"UI","AUK","UI","AURIC AIR","AURIC AIR SERVICES LIMITED",,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"S7","SBI","S7","S7 AIRLINES","JSC SIBERIA AIRLINES",,"RUSSIAN FEDERATION","EUROPE : EASTERN/CENTRAL EUROPE"
"XY","KNE","XY","FLYNAS","FLYNAS CLOSED JSC",,"SAUDI ARABIA","MIDDLE EAST"
"5J","CEB","5J","CEBU PACIFIC AIR","CEBU AIR, INC",,"PHILIPPINES"
"0B","BBL","0B","BBN AIRLINES INDONESIA","PT BBN AIRLINES INDONESIA",,"INDONESIA","ASIA : SOUTH EAST ASIA"
"8AA",,"8AA","AS SALAAM AIR",,,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"GK","JJP","GK","JETSTAR JAPAN","JETSTAR JAPAN CO., LTD.",,"JAPAN"
"JN",,"JN","ALASKA AIR TRANSIT","J AND M ALASKA AIR TOURS INC.",,"USA","NORTH AMERICA"
"PW","PRF","PW","PRECISION AIR SERVICES PLC","PRECISION AIR SERVICES PLC",,"TANZANIA UNITED REPUBLIC OF","AFRICA : EASTERN AFRICA"
"UF","PER","UF","PETROLEUM AIR SERVICES","PETROLEUM AIR SERVICES",,"EGYPT","AFRICA : NORTH AFRICA"
